INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
MacMurray College,Jacksonville,IL,62650-2590,North Central Association of Colleges and Schools The Higher Learning Commission,39.730226,-90.22175,569
McCormick Theological Seminary,Chicago,IL,60615,Commission on Accrediting of the Association of Theological Schools,41.793514,-87.5961,NULL
McHenry County College,Crystal Lake,IL,60012-2761,North Central Association of Colleges and Schools The Higher Learning Commission,42.258844,-88.366138,4322
McKendree University,Lebanon,IL,62254-1291,North Central Association of Colleges and Schools The Higher Learning Commission,38.609431,-89.814486,2292
Meadville Lombard Theological School,Chicago,IL,60605,Commission on Accrediting of the Association of Theological Schools,41.87404,-87.624801,NULL
Methodist College,Peoria,IL,61615,North Central Association of Colleges and Schools The Higher Learning Commission,40.70017,-89.591277,603
Midstate College,Peoria,IL,61614-3595,North Central Association of Colleges and Schools The Higher Learning Commission,40.691391,-89.592173,452
Millikin University,Decatur,IL,62522-2084,North Central Association of Colleges and Schools The Higher Learning Commission,39.842604,-88.974571,2012
Monmouth College,Monmouth,IL,61462-1998,North Central Association of Colleges and Schools The Higher Learning Commission,40.91459,-90.637909,1173
Moody Bible Institute,Chicago,IL,60610-3284,North Central Association of Colleges and Schools The Higher Learning Commission,41.897822,-87.633459,3084
Moraine Valley Community College,Palos Hills,IL,60465-0937,North Central Association of Colleges and Schools The Higher Learning Commission,41.694613,-87.836915,11220
Morrison Institute of Technology,Morrison,IL,61270-2959,Council on Occupational Education,41.7971,-89.965963,77
Morton College,Cicero,IL,60804-4398,North Central Association of Colleges and Schools The Higher Learning Commission,41.824303,-87.762306,3065
Mr John's School of Cosmetology Esthetics & Nails-Decatur,Decatur,IL,62521,National Accrediting Commission of Career Arts and Sciences,39.846782,-88.933718,66
National Louis University,Chicago,IL,60603,North Central Association of Colleges and Schools The Higher Learning Commission,41.879826,-87.624805,1210
National University of Health Sciences,Lombard,IL,60148-4583,North Central Association of Colleges and Schools The Higher Learning Commission,41.861919,-88.013153,76
Niles School of Cosmetology,Niles,IL,60714,National Accrediting Commission of Career Arts and Sciences,42.026599,-87.814865,48
North Central College,Naperville,IL,60540,North Central Association of Colleges and Schools The Higher Learning Commission,41.775304,-88.143649,2633
North Park University,Chicago,IL,60625-4895,North Central Association of Colleges and Schools The Higher Learning Commission,41.9751,-87.709142,2139
Northern Baptist Theological Seminary,Lombard,IL,60148-5698,Commission on Accrediting of the Association of Theological Schools,41.840512,-87.99844,NULL
Northern Illinois University,Dekalb,IL,60115-2828,North Central Association of Colleges and Schools The Higher Learning Commission,41.933791,-88.766065,14952
Northwestern College-Chicago Campus,Chicago,IL,60630,NULL,41.968664,-87.759615,239
Northwestern University,Evanston,IL,60208,North Central Association of Colleges and Schools The Higher Learning Commission,42.058377,-87.673653,8576
Northeastern Illinois University,Chicago,IL,60625-4699,North Central Association of Colleges and Schools The Higher Learning Commission,41.980567,-87.72013,7979
Oakton Community College,Des Plaines,IL,60016-1268,North Central Association of Colleges and Schools The Higher Learning Commission,42.061893,-87.880644,9269
Oehrlein School of Cosmetology,East Peoria,IL,61611,National Accrediting Commission of Career Arts and Sciences,40.666403,-89.556364,53
Olivet Nazarene University,Bourbonnais,IL,60914-2271,North Central Association of Colleges and Schools The Higher Learning Commission,41.155489,-87.873654,3389
Parkland College,Champaign,IL,61821-1899,North Central Association of Colleges and Schools The Higher Learning Commission,40.131963,-88.290359,6647
Pivot Point Academy-Evanston,Evanston,IL,60201,NULL,42.045853,-87.682259,23
Prairie State College,Chicago Heights,IL,60411-8226,North Central Association of Colleges and Schools The Higher Learning Commission,41.525316,-87.638943,3913
Professional's Choice Hair Design Academy,Joliet,IL,60435,National Accrediting Commission of Career Arts and Sciences,41.522921,-88.149391,56
Quincy University,Quincy,IL,62301-2699,North Central Association of Colleges and Schools The Higher Learning Commission,39.939235,-91.387928,1065
Vatterott College-Quincy,Quincy,IL,62305,Accrediting Commission of Career Schools and Colleges,39.949578,-91.35732,131
The Illinois Institute of Art-Chicago,Chicago,IL,60654-1593,North Central Association of Colleges and Schools The Higher Learning Commission,41.888723,-87.637632,1331
Rend Lake College,Ina,IL,62846,North Central Association of Colleges and Schools The Higher Learning Commission,38.131481,-88.918283,1632
Richland Community College,Decatur,IL,62521-8512,North Central Association of Colleges and Schools The Higher Learning Commission,39.883887,-88.894125,2528
Robert Morris University Illinois,Chicago,IL,60605,North Central Association of Colleges and Schools The Higher Learning Commission,41.876278,-87.627068,2681
Rock Valley College,Rockford,IL,61114-5699,North Central Association of Colleges and Schools The Higher Learning Commission,42.309537,-88.994586,6796
Madison Media Institute-Rockford Career College,Rockford,IL,61108,Accrediting Council for Independent Colleges and Schools,42.255723,-89.02722,513
Rockford University,Rockford,IL,61108-2311,North Central Association of Colleges and Schools The Higher Learning Commission,42.270639,-89.019536,1033
Roosevelt University,Chicago,IL,60605-1394,North Central Association of Colleges and Schools The Higher Learning Commission,41.876055,-87.624952,3197
Dominican University,River Forest,IL,60305,North Central Association of Colleges and Schools The Higher Learning Commission,41.902834,-87.821872,2241
Rush University,Chicago,IL,60612,North Central Association of Colleges and Schools The Higher Learning Commission,41.874911,-87.667498,134
